borough,neighborhood,address,residential_unit,commercial_unit,total_unit,land_sq_ft,gross_sq_ft,year_built,price,sale_date
4,Long Island City,38-20 31ST   STREET,1,0,1,2254,1540,1920,10001,5/2/2017 0:00
4,Glen Oaks,27010 GRAND CENTRAL PARKWA,1844,22,1866,4228300,3750565,1972,0,5/15/2017 0:00
4,Long Island City,38-18 31ST   STREET,2,0,2,2250,1540,1920,10001,5/2/2017 0:00
5,Todt Hill,715 OCEAN TERRACE,0,1,1,2128899,240,1965,1,11/14/2016 0:00
1,Upper East Side (59-79),370 EAST 76TH STREET,369,5,374,35975,388735,1966,10050,7/21/2017 0:00
5,Stapleton,18 COURSEN COURT,2,0,2,2528,1204,1925,10500,10/25/2016 0:00
5,Bloomfield,1900 SOUTH AVENUE,0,1,1,1225085,20000,1997,0,9/1/2016 0:00
4,Elmhurst,73-05 52ND   ROAD,1,0,1,2952,2228,1930,11000,4/27/2017 0:00
3,Crown Heights,1621 PACIFIC ST,2,0,2,1667,1848,1905,11750,9/7/2016 0:00
3,Crown Heights,1621 PACIFIC ST,2,0,2,1667,1848,1905,11750,9/7/2016 0:00
3,Crown Heights,1621 PACIFIC ST,2,0,2,1667,1848,1905,11750,9/7/2016 0:00
2,Baychester,3313 WILSON AVENUE,1,0,1,2258,2430,1930,12000,4/15/2017 0:00
4,Oakland Gardens,22028 75TH AVENUE,296,0,296,756650,235472,1952,0,10/31/2016 0:00
4,South Ozone Park,133-24 HAWTREE CREEK ROAD,1,0,1,1665,1120,1950,12000,11/22/2016 0:00
2,Hunts Point,COSTER STREET,0,0,0,3703,0,0,12500,9/22/2016 0:00
5,Bloomfield,1900 SOUTH AVENUE,0,1,1,610000,30750,1940,0,9/1/2016 0:00
4,Richmond Hill,91-13 117TH STREET,2,0,2,3680,1974,1910,12950,5/25/2017 0:00
1,Upper West Side (79-96),515 WEST END AVENUE,62,2,64,10200,123411,1926,13864,4/6/2017 0:00
2,Hunts Point,977 EAST 149 STREET,0,1,1,491293,213776,1971,0,3/1/2017 0:00
2,Morris Park/Van Nest,1250 MORRIS PARK AVENUE,0,7,7,480000,1303935,1954,0,9/21/2016 0:00
3,Crown Heights,1766 DEAN STREET,2,0,2,3091,654,1901,13870,3/29/2017 0:00
4,Bayside,15-40 BELL BOULEVARD,168,0,168,376095,168690,1954,0,7/24/2017 0:00
4,Richmond Hill,87-47 116 ST,2,0,2,5520,3603,1910,15000,5/5/2017 0:00
1,Fashion,441 8 AVENUE,0,0,0,364000,1378125,1934,0,6/12/2017 0:00
1,Southbridge,90 GOLD STREET,1641,12,1653,357935,2155492,1971,0,10/10/2016 0:00
4,St. Albans,193-08 119TH AVENUE,3,0,3,4000,2304,1988,15000,8/18/2017 0:00
2,Pelham Bay,HIGH ISLAND,0,1,1,340000,4300,1961,10,9/7/2016 0:00
4,Bayside,13-04 BELL BOULEVARD,136,0,136,314760,120175,1954,0,7/24/2017 0:00
4,St. Albans,187-16 BRINKERHOFF AVENUE,1,0,1,3166,1254,1945,15000,6/9/2017 0:00
4,Springfield Gardens,137-35 170TH STREET,1,0,1,3100,928,1935,15000,1/26/2017 0:00
2,Pelham Parkway South,1925 EASTCHESTER ROAD,0,2,2,240008,959880,1972,0,9/21/2016 0:00
3,Flatbush-East,1266 NEW YORK AVENUE,2,0,2,2973,1985,1910,15000,12/17/2016 0:00
2,Pelham Parkway South,2025-35 EASTCHESTER ROAD,0,0,0,222539,35600,1949,0,9/21/2016 0:00
2,Pelham Parkway South,1225 MORRIS PARK AVENUE,0,0,0,220762,464700,1949,0,9/21/2016 0:00
3,Flatbush-East,1266 NEW YORK AVENUE,2,0,2,2973,1985,1910,15000,12/16/2016 0:00
2,Bronxdale,2800 BRONX PARK EAST,680,0,680,218932,277000,1929,0,9/9/2016 0:00
2,Bronxdale,2800 BRONX PARK EAST,680,0,680,218932,277000,1929,0,9/9/2016 0:00
2,Pelham Parkway South,1301 MORRIS PARK AVENUE,0,1,1,215194,217000,2008,0,9/21/2016 0:00
4,Richmond Hill,91-34 121ST   STREET,1,0,1,2875,1224,1920,15000,11/4/2016 0:00
3,Spring Creek,FOUNTAIN AVENUE,0,0,0,208559,0,0,0,6/9/2017 0:00
3,Spring Creek,FOUNTAIN AVENUE,0,0,0,208559,0,0,0,6/9/2017 0:00
3,Spring Creek,FOUNTAIN AVENUE,0,0,0,208559,0,0,0,10/17/2016 0:00
2,Schuylerville/Pelham Bay,EDISON AVENUE,0,0,0,2375,0,0,15000,11/7/2016 0:00
2,Bronxdale,2700 BRONX PARK EAST,716,20,736,208366,282920,1927,0,9/9/2016 0:00
4,South Jamaica,150-27 113TH   AVENUE,1,0,1,2055,920,1940,15000,1/24/2017 0:00
3,East New York,FORBELL STREET,0,0,0,2000,0,0,15000,4/25/2017 0:00
2,Melrose/Concourse,1345 CLAY AVENUE,1,0,1,1320,2064,1901,15000,11/23/2016 0:00
5,New Brighton,37 TRUMBULL PLACE,2,0,2,1222,1763,2004,15000,4/20/2017 0:00
1,Harlem-Upper,401 WEST 147 STREET,2,0,2,1199,3360,1901,15000,1/9/2017 0:00
3,Park Slope South,465 7 AVENUE,3,1,4,1181,2400,1901,15000,4/26/2017 0:00
5,Rossville,202 BALSAM PLACE,1,0,1,1640,1480,1986,15523,4/6/2017 0:00
5,New Dorp,213 CUBA AVENUE,2,0,2,3500,1400,1965,16000,1/24/2017 0:00
4,Rego Park,61-35 98TH STREET,420,0,420,184356,580800,1960,0,6/26/2017 0:00
3,Flatbush-East,782 EAST 52ND   STREET,1,0,1,2500,1600,1930,16000,9/22/2016 0:00
4,Corona,103-41 51ST AVENUE,2,0,2,936,1216,1920,16000,12/23/2016 0:00
4,Jamaica,152-01 88TH   AVENUE,0,1,1,168510,463120,1937,0,12/29/2016 0:00
2,Baychester,3309 FISH,3,0,3,2500,2240,1930,17241,12/15/2016 0:00
