borough,neighborhood,address,residential_unit,commercial_unit,total_unit,land_sq_ft,gross_sq_ft,year_built,price,sale_date
4,Long Island City,38-20 31ST   STREET,1,0,1,2254,1540,1920,10001,5/2/2017 0:00
4,Long Island City,38-18 31ST   STREET,2,0,2,2250,1540,1920,10001,5/2/2017 0:00
1,Alphabet City,210 AVENUE B,8,0,8,1750,4226,1920,3192840,9/23/2016 0:00
5,Stapleton,18 COURSEN COURT,2,0,2,2528,1204,1925,10500,10/25/2016 0:00
4,Elmhurst,73-05 52ND   ROAD,1,0,1,2952,2228,1930,11000,4/27/2017 0:00
3,Crown Heights,1621 PACIFIC ST,2,0,2,1667,1848,1905,11750,9/7/2016 0:00
3,Crown Heights,1621 PACIFIC ST,2,0,2,1667,1848,1905,11750,9/7/2016 0:00
3,Crown Heights,1621 PACIFIC ST,2,0,2,1667,1848,1905,11750,9/7/2016 0:00
2,Baychester,3313 WILSON AVENUE,1,0,1,2258,2430,1930,12000,4/15/2017 0:00
4,South Ozone Park,133-24 HAWTREE CREEK ROAD,1,0,1,1665,1120,1950,12000,11/22/2016 0:00
2,Hunts Point,COSTER STREET,0,0,0,3703,0,0,12500,9/22/2016 0:00
4,Richmond Hill,91-13 117TH STREET,2,0,2,3680,1974,1910,12950,5/25/2017 0:00
1,Alphabet City,624 EAST 9TH   STREET,3,1,4,1520,3360,1910,3300000,11/15/2016 0:00
3,Crown Heights,1766 DEAN STREET,2,0,2,3091,654,1901,13870,3/29/2017 0:00
4,Richmond Hill,87-47 116 ST,2,0,2,5520,3603,1910,15000,5/5/2017 0:00
4,St. Albans,193-08 119TH AVENUE,3,0,3,4000,2304,1988,15000,8/18/2017 0:00
4,St. Albans,187-16 BRINKERHOFF AVENUE,1,0,1,3166,1254,1945,15000,6/9/2017 0:00
4,Springfield Gardens,137-35 170TH STREET,1,0,1,3100,928,1935,15000,1/26/2017 0:00
3,Flatbush-East,1266 NEW YORK AVENUE,2,0,2,2973,1985,1910,15000,12/17/2016 0:00
3,Flatbush-East,1266 NEW YORK AVENUE,2,0,2,2973,1985,1910,15000,12/16/2016 0:00
4,Richmond Hill,91-34 121ST   STREET,1,0,1,2875,1224,1920,15000,11/4/2016 0:00
2,Schuylerville,EDISON AVENUE,0,0,0,2375,0,0,15000,11/7/2016 0:00
4,South Jamaica,150-27 113TH   AVENUE,1,0,1,2055,920,1940,15000,1/24/2017 0:00
3,East New York,FORBELL STREET,0,0,0,2000,0,0,15000,4/25/2017 0:00
2,Melrose,1345 CLAY AVENUE,1,0,1,1320,2064,1901,15000,11/23/2016 0:00
5,New Brighton,37 TRUMBULL PLACE,2,0,2,1222,1763,2004,15000,4/20/2017 0:00
1,Alphabet City,115 AVENUE C,0,1,1,1218,3586,1899,3700000,9/28/2016 0:00
3,Park Slope South,465 7 AVENUE,3,1,4,1181,2400,1901,15000,4/26/2017 0:00
5,Rossville,202 BALSAM PLACE,1,0,1,1640,1480,1986,15523,4/6/2017 0:00
5,New Dorp,213 CUBA AVENUE,2,0,2,3500,1400,1965,16000,1/24/2017 0:00
3,Flatbush-East,782 EAST 52ND   STREET,1,0,1,2500,1600,1930,16000,9/22/2016 0:00
4,Corona,103-41 51ST AVENUE,2,0,2,936,1216,1920,16000,12/23/2016 0:00
2,Baychester,3309 FISH,3,0,3,2500,2240,1930,17241,12/15/2016 0:00
1,Alphabet City,154 EAST 7TH STREET,10,0,10,2272,6794,1913,3936272,9/23/2016 0:00
